Time,Day,Infections
28/02/2020,1,1
29/02/2020,2,1
01/03/2020,3,1
02/03/2020,4,1
03/03/2020,5,1
04/03/2020,6,2
05/03/2020,7,4
06/03/2020,8,4
07/03/2020,9,5
08/03/2020,10,5
09/03/2020,11,5
10/03/2020,12,5
11/03/2020,13,5
12/03/2020,14,5
13/03/2020,15,5
14/03/2020,16,6
15/03/2020,17,8
16/03/2020,18,8
17/03/2020,19,12
18/03/2020,20,20
19/03/2020,21,28
20/03/2020,22,39
21/03/2020,23,52
22/03/2020,24,66
23/03/2020,25,102
24/03/2020,26,155
25/03/2020,27,205
26/03/2020,28,283
